,OBJECTID,BlockGroups_GEOID10,BlockGroups_STATEFP10,BlockGroups_COUNTYFP10,BlockGroups_TRACTCE10,BlockGroups_BLKGRPCE10,households,area_median_income,blkgrp_median_income_owners,blkgrp_median_income_renters,avg_hh_size_owners,avg_hh_size_renters,commuters_per_hh_owners,commuters_per_hh_renters,pct_renters,median_rooms_per_owner_unit,median_rooms_per_renter_unit,pct_detatched_single_family_uni,median_commute_distance,local_job_density,local_retail_job_density,retail_access_index,hh_type1_t_own,hh_type1_autos_own,hh_type1_vmt_own,hh_type1_transit_trips_own,hh_type1_t_rent,hh_type1_autos_rent,hh_type1_vmt_rent,hh_type1_transit_trips_rent,hh_type2_t_own,hh_type2_autos_own,hh_type2_vmt_own,hh_type2_transit_trips_own,hh_type2_t_rent,hh_type2_autos_rent,hh_type2_vmt_rent,hh_type2_transit_trips_rent,hh_type3_t_own,hh_type3_autos_own,hh_type3_vmt_own,hh_type3_transit_trips_own,hh_type3_t_rent,hh_type3_autos_rent,hh_type3_vmt_rent,hh_type3_transit_trips_rent,hh_type4_t_own,hh_type4_autos_own,hh_type4_vmt_own,hh_type4_transit_trips_own,hh_type4_t_rent,hh_type4_autos_rent,hh_type4_vmt_rent,hh_type4_transit_trips_rent,hh_type5_t_own,hh_type5_autos_own,hh_type5_vmt_own,hh_type5_transit_trips_own,hh_type5_t_rent,hh_type5_autos_rent,hh_type5_vmt_rent,hh_type5_transit_trips_rent,hh_type6_t_own,hh_type6_autos_own,hh_type6_vmt_own,hh_type6_transit_trips_own,hh_type6_t_rent,hh_type6_autos_rent,hh_type6_vmt_rent,hh_type6_transit_trips_rent,hh_type7_t_own,hh_type7_autos_own,hh_type7_vmt_own,hh_type7_transit_trips_own,hh_type7_t_rent,hh_type7_autos_rent,hh_type7_vmt_rent,hh_type7_transit_trips_rent,hh_type8_t_own,hh_type8_autos_own,hh_type8_vmt_own,hh_type8_transit_trips_own,hh_type8_t_rent,hh_type8_autos_rent,hh_type8_vmt_rent,hh_type8_transit_trips_rent,Shape__Area,Shape__Length
135080,136081,360810155001,36,81,15500,1,568.0,65791.0,119279.43440999999,57712.325829999994,3.55,2.23,1.23191,1.44459,0.8714799999999999,5.9,3.7,3.69748,3.99134,18.02915,4.358280000000001,25356.44857,14.869489999999999,1.64,13106.88,757.6134900000001,13.38466,1.31,13106.88,986.89126,30.92809,0.47,6346.08,667.8961099999999,29.97542,0.3,6346.08,1001.84416,13.40245,0.67,6405.48,660.4196599999999,12.96067,0.51,6405.48,971.93836,6.1361300000000005,0.87,6514.56,655.43536,5.91538,0.72,6514.56,944.5247199999999,7.851839999999999,0.84,0.0,757.6134900000001,6.16655,0.5,0.0,1036.73425,19.402260000000002,1.15,7177.68,767.58209,16.734389999999998,0.8,7177.68,1031.74995,13.36544,1.25,7541.64,765.0899400000001,11.54615,0.9,7541.64,1019.2892099999999,10.38252,1.73,13747.32,755.12134,9.34304,1.39,13747.32,976.92266,7.785782047e-06,0.011357853481162
135081,136082,360810155002,36,81,15500,2,354.0,65791.0,106699.87492999999,51625.81445,2.35,2.32,1.28358,1.5051700000000001,0.73446,4.0,3.3,1.39211,3.73936,19.76575,4.44529,25797.44366,14.829429999999999,1.65,13924.44,598.1159200000001,13.528620000000002,1.37,13924.44,772.5663900000001,30.478270000000002,0.47,7193.88,510.89068,30.52624,0.36,7193.88,785.02714,13.34503,0.68,7266.24,503.41423,13.194370000000001,0.57,7266.24,755.12134,6.12061,0.88,7401.24,495.93778,5.98859,0.77,7401.24,727.7077,7.5222,0.85,0.0,600.6080599999999,6.04328,0.56,0.0,822.4093799999999,19.323339999999998,1.16,7999.56,610.57666,16.95676,0.86,7999.56,817.42508,13.246529999999998,1.25,8374.32,605.59236,11.7041,0.96,8374.32,802.4721900000001,10.318760000000001,1.73,14577.84,595.62377,9.43801,1.45,14577.84,760.10564,7.964708707999999e-06,0.020364204127663002
135082,136083,360810156001,36,81,15600,1,334.0,65791.0,63067.660079999994,25823.60917,3.74,3.15,1.9225599999999998,1.54355,0.38024,6.0,4.0,45.89235,9.079410000000001,4.38385,0.70578,12045.504990000001,17.13149,1.87,18500.4,468.52412999999996,15.31494,1.52,18500.4,593.13162,40.90912,0.69,10803.24,381.2989,38.4206,0.51,10803.24,605.59236,17.051029999999997,0.9,10668.24,373.82245,15.95829,0.72,10668.24,578.17872,7.50633,1.1,10416.6,366.346,7.0361,0.93,10416.6,548.27292,8.7427,1.07,0.0,471.01628,6.643330000000001,0.71,0.0,642.97461,23.43526,1.38,12154.32,478.49273,20.1266,1.01,12154.32,637.9903099999999,15.84779,1.47,12372.48,476.00057999999996,13.69126,1.11,12372.48,625.52956,11.81804,1.95,18961.56,466.03198,10.59346,1.6,18961.56,580.67087,8.791654942e-06,0.012428499716268
135083,136084,360810156002,36,81,15600,2,551.0,65791.0,100555.52722,41173.346710000005,4.18,3.93,1.8802599999999998,1.50958,0.56806,5.7,4.4,29.0718,8.795739999999999,5.25445,0.9847,11738.46575,16.92588,1.86,17658.0,510.89068,15.3427,1.54,17658.0,662.91181,40.1962,0.69,10049.4,423.66544000000005,38.58316,0.53,10049.4,675.37255,16.76279,0.89,10027.8,416.18899,16.092670000000002,0.74,10027.8,645.4667599999999,7.43871,1.09,9987.84,408.71254,7.09753,0.94,9987.84,618.05311,8.78018,1.06,0.0,513.38283,6.89165,0.72,0.0,712.7548,22.99002,1.37,11229.84,520.85928,20.11414,1.03,11229.84,707.7705,15.59547,1.46,11533.32,518.36713,13.643429999999999,1.12,11533.32,692.8176,11.73971,1.95,18223.92,508.39853,10.631269999999999,1.62,18223.92,650.45106,1.3562296793e-05,0.016819526590027
135084,136085,360810157001,36,81,15700,1,689.0,65791.0,77125.0,44379.0,1.0,2.27,1.0,1.3104,0.99129,3.5,3.5,4.49927,3.6343199999999998,27.874090000000002,4.76091,26949.400560000002,14.34416,1.62,12902.76,585.65517,12.982380000000001,1.34,12902.76,730.19985,27.52885,0.44,5975.64,495.93778,27.263070000000003,0.33,5975.64,742.6605900000001,12.372069999999999,0.65,6197.04,488.46133,12.109630000000001,0.54,6197.04,712.7548,5.8080300000000005,0.85,6608.52,483.47702999999996,5.63084,0.74,6608.52,685.34115,7.202139999999999,0.81,0.0,585.65517,5.65336,0.52,0.0,780.0428400000001,18.27264,1.12,6983.28,595.62377,15.901270000000002,0.83,6983.28,775.05854,12.69075,1.22,7469.28,593.13162,11.001619999999999,0.92,7469.28,760.10564,10.02053,1.7,13693.32,583.1630200000001,9.09912,1.42,13693.32,717.7391,1.3698960795e-05,0.022713665715776002
135085,136086,360810158011,36,81,15801,1,299.0,65791.0,62478.812139999995,28671.8513,2.98,2.92,1.36769,0.7923899999999999,0.44147,5.3,5.1,61.20401,9.67888,2.14433,0.21247,11477.52938,17.84897,1.97,20058.84,318.99515,16.40589,1.69,20058.84,423.66544000000005,43.41814,0.8,11514.96,231.76992,42.41515,0.68,11514.96,438.61834000000005,17.97993,1.0,11516.04,224.29347,17.5549,0.89,11516.04,408.71254,7.944260000000001,1.2,11518.2,216.81702,7.75068,1.1,11518.2,378.80675,9.09225,1.17,74.52,321.4873,7.43549,0.88,74.52,473.50843,24.508029999999998,1.48,13262.4,328.96375,21.867079999999998,1.18,13262.4,468.52412999999996,16.65983,1.58,13582.08,326.4716,14.875420000000002,1.28,13582.08,456.06339,12.35908,2.06,20646.36,316.50301,11.347430000000001,1.77,20646.36,413.69684,1.2165670473e-05,0.015688550206866003
135086,136087,360810158012,36,81,15801,2,287.0,65791.0,64131.339589999996,29430.20473,4.88,2.88,1.7521099999999998,1.0151,0.29617,6.1,3.7,69.38110999999999,9.68962,2.30572,0.43771000000000004,11447.514290000001,17.768060000000002,1.95,19918.44,356.3774,15.81286,1.58,19918.44,471.01628,43.51077,0.78,11657.52,269.15216000000004,40.06557,0.57,11657.52,483.47702999999996,17.924329999999998,0.98,11526.84,261.67571,16.57694,0.78,11526.84,456.06339,7.8650899999999995,1.18,11283.84,254.19926,7.24834,0.98,11283.84,426.15759,9.208039999999999,1.15,542.16,358.86955,6.8718,0.76,542.16,520.85928,24.539,1.46,13411.44,368.83815,20.965529999999998,1.07,13411.44,515.8749799999999,16.63128,1.56,13631.76,363.85385,14.16739,1.16,13631.76,503.41423,12.28245,2.04,20382.84,353.88525,10.92601,1.66,20382.84,458.55553,1.0035710333999999e-05,0.016633849946206997
135087,136088,360810158013,36,81,15801,3,386.0,65791.0,70340.27902,32279.51928,4.55,2.62,1.6395400000000002,0.94988,0.58549,5.0,4.1,22.4622,9.48435,3.55876,0.62256,11638.503009999999,16.43596,1.81,17213.04,476.00057999999996,14.8241,1.48,17213.04,642.97461,37.702220000000004,0.63,9809.64,386.2832,36.28883,0.47,9809.64,655.43536,15.954770000000002,0.84,9809.64,378.80675,15.25895,0.68,9809.64,628.02171,7.1302,1.04,9808.56,373.82245,6.76778,0.88,9808.56,598.1159200000001,8.26198,1.0,0.0,476.00057999999996,6.41791,0.66,0.0,692.8176,22.02308,1.31,10899.36,485.96918,19.208170000000003,0.97,10899.36,687.8333,15.0452,1.41,11217.96,483.47702999999996,13.06713,1.06,11217.96,675.37255,11.37744,1.89,17799.48,473.50843,10.28933,1.56,17799.48,630.5138599999999,9.901151777000001e-06,0.012872949901213002
135088,136089,360810158021,36,81,15802,1,557.0,65791.0,53080.03433,47950.27496,3.52,3.0,1.46488,1.7971400000000002,0.45421999999999996,5.7,3.8,26.54723,9.07399,3.8856800000000002,0.7706,11575.48447,16.28699,1.74,17106.12,620.54526,14.577129999999999,1.39,17106.12,797.48789,37.97787,0.57,9984.6,533.32002,35.80745,0.38,9984.6,809.9486400000001,15.802929999999998,0.77,9805.32,525.84358,14.913429999999998,0.59,9805.32,780.0428400000001,6.97275,0.97,9471.6,518.36713,6.5815600000000005,0.8,9471.6,752.62919,8.21376,0.94,0.0,623.0374099999999,6.24777,0.58,0.0,847.3308800000001,22.01644,1.25,10964.16,633.00601,18.91102,0.88,10964.16,842.3465800000001,14.8959,1.34,11147.76,628.02171,12.8664,0.98,11147.76,827.39368,11.28692,1.83,17526.24,618.05311,10.09403,1.47,17526.24,785.02714,9.462354303e-06,0.012895432835856
135089,136090,360810158022,36,81,15802,2,428.0,65791.0,50334.68372,45470.24046,3.91,3.6,1.79287,2.1995299999999998,0.50935,6.1,4.7,27.33645,8.93525,4.535419999999999,0.9281200000000001,11222.45661,16.96142,1.86,17731.44,518.36713,15.3394,1.53,17731.44,680.35685,40.35163,0.68,10288.08,428.64974000000007,39.19058,0.53,10288.08,695.30975,16.900129999999997,0.89,10221.12,423.66544000000005,16.280820000000002,0.74,10221.12,665.40396,7.471889999999999,1.09,10094.76,416.18899,7.14952,0.94,10094.76,637.9903099999999,8.79923,1.06,0.0,520.85928,6.93611,0.72,0.0,730.19985,23.11124,1.37,11394.0,528.33573,20.16901,1.02,11394.0,725.21555,15.6589,1.46,11661.84,525.84358,13.738620000000001,1.12,11661.84,712.7548,11.7162,1.94,18255.24,515.8749799999999,10.66414,1.62,18255.24,670.38825,1.0234796652999998e-05,0.013337587893832
